work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,company_location,company_size
2,3,2,84,98800,84,77,1
2,3,2,92,166000,84,77,1
2,3,2,92,83000,84,77,1
2,3,2,146,278000,84,77,1
2,3,2,146,148000,84,77,1
2,2,2,266,122200,84,77,1
2,2,2,266,67600,84,77,1
2,2,2,120,107600,84,77,1
2,2,2,120,64600,84,77,1
2,2,2,141,166500,84,77,1
2,2,2,141,99900,84,77,1
2,3,2,211,277000,84,77,1
2,3,2,211,173000,84,77,1
2,2,2,60,105972,84,77,1
2,2,2,60,68964,84,77,1
2,2,2,97,186000,84,77,1
2,2,2,97,124000,84,77,1
2,2,2,97,186000,84,77,1
2,2,2,97,124000,84,77,1
2,2,2,97,172600,84,77,0
2,2,2,97,103300,84,77,0
2,3,2,141,129000,84,77,1
2,3,2,141,122000,84,77,1
2,2,2,35,222200,84,77,0
2,2,2,35,136000,84,77,0
2,2,2,35,212800,84,77,0
2,2,2,35,129400,84,77,0
2,2,2,65,165600,84,77,0
2,2,2,65,74100,84,77,0
2,2,2,168,115000,84,77,1
2,2,2,168,90000,84,77,1
2,3,2,254,212800,84,77,0
2,3,2,254,136000,84,77,0
2,3,2,168,180000,84,77,1
2,3,2,168,142000,84,77,1
2,2,2,168,183000,84,77,1
2,2,2,168,122000,84,77,1
2,2,2,168,183000,84,77,1
2,2,2,168,122000,84,77,1
2,3,2,168,252000,84,77,1
2,3,2,168,138000,84,77,1
2,3,2,168,252000,84,77,1
2,3,2,168,138000,84,77,1
2,2,2,168,183000,84,77,1
2,2,2,168,122000,84,77,1
2,2,2,168,183000,84,77,1
2,2,2,168,122000,84,77,1
2,2,2,168,183000,84,77,1
2,2,2,168,122000,84,77,1
2,2,2,211,142800,84,77,0
2,2,2,211,66800,84,77,0
2,3,2,211,165000,84,77,1
2,3,2,211,115000,84,77,1
2,2,2,266,156400,84,77,1
2,2,2,266,93800,84,77,1
2,2,2,194,260100,84,77,1
2,2,2,194,185800,84,77,1
2,3,2,206,190000,84,77,1
2,3,2,206,120000,84,77,1
2,3,2,194,150000,84,77,1
2,3,2,194,90000,84,77,1
2,3,2,194,172000,12,11,1
2,3,2,194,124800,12,11,1
2,3,2,168,220000,84,77,1
2,3,2,168,189000,84,77,1
2,3,2,266,170000,12,11,1
2,3,2,266,140000,12,11,1
2,3,2,211,235000,84,77,1
2,3,2,269,255000,84,77,1
2,3,2,269,170000,84,77,1
2,2,2,168,300000,84,77,1
2,2,2,168,200000,84,77,1
2,2,2,168,300000,84,77,1
2,2,2,168,200000,84,77,1
2,3,2,141,254000,84,77,1
2,3,2,141,132000,84,77,1
2,3,2,141,254000,84,77,1
2,3,2,141,132000,84,77,1
2,2,2,141,245000,84,77,1
2,0,2,141,216500,12,11,1
2,0,2,141,144300,12,11,1
2,3,2,141,237000,84,77,1
2,3,2,141,201450,84,77,1
2,2,2,141,93919,84,77,1
2,2,2,141,53521,84,77,1
2,2,2,131,160000,84,77,1
2,2,2,131,120000,84,77,1
2,0,2,84,216500,12,11,1
2,0,2,84,144300,12,11,1
2,0,2,84,90000,84,77,1
2,0,2,84,90000,84,77,1
2,0,2,84,180000,84,77,1
2,0,2,84,140000,84,77,1
2,3,2,84,155000,84,77,1
2,3,2,84,108120,84,77,1
2,0,2,84,75000,84,77,1
2,0,2,84,75000,84,77,1
2,2,2,84,98000,84,77,1
2,2,2,84,82400,84,77,1
2,3,0,84,162000,84,77,1
2,3,0,84,140000,84,77,1
2,3,2,98,172000,84,77,1
2,3,2,98,137000,84,77,1
2,0,2,24,85008,84,77,1
2,0,2,24,50736,84,77,1
2,3,2,26,72800,50,47,1
2,3,2,26,44133,50,47,1
2,3,2,266,230000,84,77,1
2,3,2,266,180000,84,77,1
2,3,2,65,95000,84,77,1
2,3,2,65,75000,84,77,1
2,2,2,97,135000,84,77,1
2,2,2,97,100000,84,77,1
2,3,2,97,310000,84,77,1
2,3,2,97,245000,84,77,1
2,3,2,97,43217,42,40,1
2,3,2,97,36014,42,40,1
2,3,2,168,207000,84,77,1
2,3,2,168,155300,84,77,1
2,2,2,4,200000,84,77,1
2,2,2,4,140000,84,77,1
2,0,2,56,115000,84,77,1
2,0,2,56,90000,84,77,1
2,0,2,24,95000,84,77,1
2,0,2,24,75000,84,77,1
2,3,2,168,175000,84,77,1
2,3,2,168,125000,84,77,1
2,3,2,211,187000,84,77,1
2,3,2,211,121000,84,77,1
2,2,2,29,85000,84,77,1
2,2,2,29,60000,84,77,1
2,0,2,253,178200,84,77,1
